CODE_ID,用地性质,临路类型,地块面积,容积率,总建筑面积,建筑密度,建筑最大高度,建筑平均高度,DIKUAI_ID
DIKUAI_785,医疗卫生用地,非临路型,1192.44,2.4489,2920.1599,0.4898,15,15,DIKUAI_2024_0336
DIKUAI_930,旅馆用地,临路型,2125.96,1.9019,4043.3611,0.6013,18,8.5,DIKUAI_2024_0337
DIKUAI_786,公用设施用地,非临路型,1070.49,0.0046,4.9006,0.0009,15,15,DIKUAI_2024_0338
DIKUAI_2207,其他草地,临路型,20862.4,0.0036,74.7847,0.0036,3,3,DIKUAI_2024_0340
DIKUAI_826,公园与绿地,临路型,62181.1,0.0236,1467.772,0.0208,9,4,DIKUAI_2024_0341
DIKUAI_937,城镇住宅用地,临路型,22818.9,1.3351,30464.4719,0.3877,21,8,DIKUAI_2024_4015
DIKUAI_931,城镇住宅用地,非临路型,4993.78,0.6619,3305.2827,0.4977,18,5.7188,DIKUAI_2024_0343
DIKUAI_1012,其它商务设施用地,临路型,17129.3,2.4565,42077.8747,0.3467,75,15,DIKUAI_2024_0345
DIKUAI_2206,其他草地,非临路型,7489.1,0,0,0,0,0,DIKUAI_2024_0346
DIKUAI_1577,城镇住宅用地,临路型,32309.7,0.8789,28397.908,0.1575,21,14.8636,DIKUAI_2024_0347
DIKUAI_929,商办混合用地,临路型,3710.47,3.9013,14475.5715,0.5472,36,18,DIKUAI_2024_0348
DIKUAI_1575,其他草地,临路型,3953.92,1.3802,5457.1496,0.4363,12,9,DIKUAI_2024_0349
DIKUAI_1585,公园与绿地,临路型,544.075,0,0,0,0,0,DIKUAI_2024_0351
DIKUAI_924,零售商业用地,临路型,1246.46,1.726,2151.398,0.5606,15,10.2,DIKUAI_2024_0352
DIKUAI_1598,商办混合用地,临路型,3877.85,1.8298,7095.6899,0.4796,21,15.75,DIKUAI_2024_0354
DIKUAI_1579,公园与绿地,临路型,229.612,0,0,0,0,0,DIKUAI_2024_0355
DIKUAI_1033,中小学用地,临路型,9831.02,0.504,4954.8775,0.1101,15,10,DIKUAI_2024_0356
DIKUAI_1599,零售商业用地,临路型,1273.67,0.7126,907.626,0.3563,6,6,DIKUAI_2024_0357
DIKUAI_1597,商办混合用地,临路型,1262.93,1.6464,2079.2597,0.5488,9,9,DIKUAI_2024_0358
DIKUAI_921,城镇住宅用地,临路型,4696.2,0.2966,1392.943,0.1483,6,6,DIKUAI_2024_0359
DIKUAI_1686,其他草地,临路型,9096.21,0.456,4148.302,0.1147,18,12,DIKUAI_2024_0360
DIKUAI_819,中小学用地,临路型,29400.8,0.8223,24175.7105,0.2153,45,10.3846,DIKUAI_2024_0361
DIKUAI_2208,其他草地,临路型,15468.5,0.2057,3181.4715,0.1555,9,3.75,DIKUAI_2024_0362
DIKUAI_935,城镇住宅用地,临路型,35081,1.6826,59025.8822,0.282,33,12.4054,DIKUAI_2024_0363
DIKUAI_928,其它商务设施用地,临路型,5863.11,2.5651,15039.5996,0.3206,24,24,DIKUAI_2024_0364
DIKUAI_1574,其他草地,临路型,12535.2,0.4575,5734.299,0.1586,9,7.5,DIKUAI_2024_0365
DIKUAI_923,城镇住宅用地,非临路型,3617.67,1.6966,6137.5712,0.4286,24,10.5,DIKUAI_2024_0366
DIKUAI_1581,商住混合用地,临路型,5113.64,1.7967,9187.48,0.2994,18,18,DIKUAI_2024_0367
DIKUAI_827,城镇住宅用地,临路型,237286,1.1376,269944.4346,0.274,42,11.5055,DIKUAI_2024_4016
DIKUAI_1589,零售商业用地,临路型,454.741,0.3807,173.123,0.3807,3,3,DIKUAI_2024_0369
DIKUAI_1604,其它商务设施用地,临路型,3585.66,0.2841,1018.55,0.0947,9,9,DIKUAI_2024_0370
DIKUAI_1687,其他草地,临路型,1352.66,0,0,0,0,0,DIKUAI_2024_0371
DIKUAI_1032,城镇住宅用地,临路型,27876.3,1.797,50093.9593,0.19,57,22.5,DIKUAI_2024_0372
DIKUAI_1590,城镇住宅用地,临路型,686.896,0.0063,4.3511,0.0032,6,6,DIKUAI_2024_0373
DIKUAI_1593,其它商务设施用地,临路型,1966.06,0.1779,349.825,0.1779,3,3,DIKUAI_2024_0374
DIKUAI_922,城镇住宅用地,非临路型,4325.07,1.5934,6891.5099,0.3317,21,13.5,DIKUAI_2024_0375
DIKUAI_1591,旅馆用地,临路型,1232.24,0,0,0,0,0,DIKUAI_2024_0376
DIKUAI_1688,城镇住宅用地,临路型,29144.5,1.0417,30360.8347,0.2227,24,12.5172,DIKUAI_2024_0377
DIKUAI_1588,商办混合用地,临路型,2745.46,0.0068,18.6343,0.0034,6,6,DIKUAI_2024_0378
DIKUAI_942,城镇住宅用地,临路型,64776.1,1.4725,95384.8624,0.313,24,11.0921,DIKUAI_2024_0379
DIKUAI_1034,商住混合用地,临路型,10442.6,6.8754,71796.53,0.3707,57,38,DIKUAI_2024_0380
DIKUAI_1592,城镇住宅用地,非临路型,1553.06,0.6792,1054.91,0.3396,6,6,DIKUAI_2024_0381
DIKUAI_1580,商住混合用地,临路型,7170.74,1.7758,12733.94,0.3853,18,9,DIKUAI_2024_0382
DIKUAI_979,商住混合用地,临路型,1199.61,0.3156,378.656,0.2153,12,7,DIKUAI_2024_0383
DIKUAI_2295,特殊用地,临路型,48068.2,1.1562,55574.8692,0.317,18,8.6129,DIKUAI_2024_0384
DIKUAI_2277,城镇住宅用地,临路型,10183.9,0.2237,2277.648,0.1366,6,4.8,DIKUAI_2024_0385
DIKUAI_1602,工业用地,非临路型,5354.04,0.0557,298.2838,0.0097,21,16,DIKUAI_2024_0386
DIKUAI_940,其它商务设施用地,临路型,8793.5,1.3586,11947.2848,0.1633,27,18,DIKUAI_2024_0387
DIKUAI_1578,城镇住宅用地,临路型,28932.1,1.545,44700.8119,0.3212,18,11.4545,DIKUAI_2024_0388
DIKUAI_1401,旅馆用地,临路型,4760.41,0.0099,47.12,0.0099,3,3,DIKUAI_2024_0389
DIKUAI_1634,商住混合用地,临路型,5948.28,1.9931,11855.2762,0.3515,24,16.2,DIKUAI_2024_0390
DIKUAI_978,医疗卫生用地,临路型,3534.09,2.1055,7440.9866,0.4781,18,7.5,DIKUAI_2024_0391
DIKUAI_976,商住混合用地,临路型,2514.41,3.0569,7686.285,0.4352,63,21,DIKUAI_2024_0392
DIKUAI_818,中小学用地,非临路型,6988.03,0.7534,5264.9072,0.179,15,9,DIKUAI_2024_0368
DIKUAI_918,城镇住宅用地,非临路型,9090.39,0.4765,4331.7101,0.0906,21,16.5,DIKUAI_2024_0394
DIKUAI_825,商办混合用地,临路型,6885.71,2.2109,15223.3602,0.36,45,20.25,DIKUAI_2024_0395
DIKUAI_1400,城镇住宅用地,临路型,7619.65,1.5345,11692.401,0.3094,15,13.5,DIKUAI_2024_0396
DIKUAI_1616,其他草地,临路型,5153.08,1.4136,7284.2279,0.3183,36,16.5,DIKUAI_2024_0397
DIKUAI_939,城镇住宅用地,临路型,41535.4,2.2614,93926.6922,0.191,39,33,DIKUAI_2024_0398
DIKUAI_804,文化活动设施用地,临路型,6041.3,0.1407,850.0486,0.0763,6,5.25,DIKUAI_2024_0399
DIKUAI_1576,城镇住宅用地,临路型,43659.5,1.9663,85846.6699,0.3738,24,13.2558,DIKUAI_2024_0400
DIKUAI_977,中小学用地,临路型,2788.11,0.9123,2543.6206,0.4466,9,4.3636,DIKUAI_2024_0401
DIKUAI_1023,其他草地,临路型,50645.5,1.4534,73607.9775,0.1419,60,21.8571,DIKUAI_2024_0402
DIKUAI_1621,城镇住宅用地,临路型,7785.18,3.7008,28811.5882,0.4373,36,16.5,DIKUAI_2024_0403
DIKUAI_1402,旅馆用地,非临路型,991.067,0.6882,682.062,0.3441,6,6,DIKUAI_2024_0404
DIKUAI_982,商住混合用地,临路型,5004.63,0.3013,1508.08,0.1507,6,6,DIKUAI_2024_0405
DIKUAI_975,商住混合用地,临路型,1668.97,1.3939,2326.3999,0.2323,18,18,DIKUAI_2024_0408
DIKUAI_920,零售商业用地,非临路型,350.628,0,0,0,0,0,DIKUAI_2024_0409
DIKUAI_1531,城镇住宅用地,临路型,42396.3,0.458,19418.4401,0.1109,15,12.3158,DIKUAI_2024_0410
DIKUAI_1596,城镇住宅用地,临路型,994.425,0.755,750.7887,0.4716,18,7.3333,DIKUAI_2024_0411
DIKUAI_980,零售商业用地,非临路型,1132.19,0.5768,653.056,0.5768,3,3,DIKUAI_2024_0412
DIKUAI_927,城镇住宅用地,非临路型,726.814,0.0758,55.0793,0.0758,3,3,DIKUAI_2024_0413
DIKUAI_1650,金融保险用地,临路型,1133.87,0.4596,521.1212,0.4596,3,3,DIKUAI_2024_0414
DIKUAI_1367,商住混合用地,临路型,1633.82,1.0728,1752.769,0.2682,12,12,DIKUAI_2024_0415
DIKUAI_1651,行政办公用地,临路型,1036.06,0.517,535.596,0.1292,12,12,DIKUAI_2024_0416
DIKUAI_1652,城镇住宅用地,临路型,11909.8,0,0,0,0,0,DIKUAI_2024_0417
